b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
160,80,0,2.5,0,368.52,65.65,650,0,0,2145,0,64,11625,1150,60.83052217,2.937877501,0.333333333,0.555304523,5.932693973,28.11832603,0.352788887,0,0,0
160,80,0,3.5,0,368.52,65.65,620,0,0,2887.69,0,45.71428571,11169,1582,59.62552405,4.082947586,0.333333333,0.795094081,8.411654059,26.79535182,0.320886788,0,0,0
160,80,0,4.5,0,368.52,65.65,620,0,0,3011.81,0,35.55555556,10721,1998,58.41746562,5.211014183,0.333333333,1.04613208,10.95769862,26.76170779,0.310594399,0,0,0
160,80,0,2.5,0,368.52,65.65,620,0,0,1621.88,0,64,11625,1150,60.83052217,2.937877501,0.333333333,0.555304523,5.932693973,26.82055714,0.336506323,0,0,0
230,230,0,4,0,378,60.1,1150,0,0,2900,0,57.5,49284,3552,125.2500875,4.43499697,0.333333333,0.453298556,4.46155072,17.31002747,0.231444332,0,0,0
230,230,0,4,100,378,62.71,1150,0,0,3100,0,57.5,49284,3552,125.2500875,4.43499697,0.333333333,0.4344322,4.46155072,17.31002747,0.233846938,0,0,0
230,230,0,4,100,378,62.71,1150,0,0,3350,0,57.5,49284,3552,125.2500875,4.43499697,0.333333333,0.4344322,4.46155072,17.31002747,0.233846938,0,0,0
450,450,0,7.8,0,360.4,61.81,1500,0,0,13198,0,57.69230769,188703.36,13553.28,245.0839551,8.648754778,0.333333333,0.418784709,4.23937887,11.54006483,0.154305817,0,0,0
450,450,0,7.8,100,360.4,63.2,1500,0,0,13611,0,57.69230769,188703.36,13553.28,245.0839551,8.648754778,0.333333333,0.409574096,4.23937887,11.54006483,0.155164124,0,0,0
450,450,0,7.8,100,360.4,63.2,1500,0,0,16636,0,57.69230769,188703.36,13553.28,245.0839551,8.648754778,0.333333333,0.409574096,4.23937887,11.54006483,0.155164124,0,0,0
100,100,0,4.9,0,668.8,90.45,300,0,0,1949.5,0,20.40816327,8136.04,1767.92,50.88990044,5.25748045,0.333333333,1.606709002,23.03143908,10.3422806,0.154983322,0,0,0
100,100,0,4.9,0,646.2,79.53,300,0,0,1784.6,0,20.40816327,8136.04,1767.92,50.88990044,5.25748045,0.333333333,1.765572294,22.25316378,10.3422806,0.150646288,0,0,0
100,100,0,4.9,0,646.2,79.53,300,0,0,1629,0,20.40816327,8136.04,1767.92,50.88990044,5.25748045,0.333333333,1.765572294,22.25316378,10.3422806,0.150646288,0,0,0
100,100,0,5.8,0,599.5,101.38,300,0,0,2376.6,0,17.24137931,7814.56,2050.88,49.87435919,6.163726823,0.333333333,1.551931758,24.6964191,10.32214861,0.150602461,0,0,0
100,100,0,5.8,0,599.5,118.24,300,0,0,2546.3,0,17.24137931,7814.56,2050.88,49.87435919,6.163726823,0.333333333,1.33063973,24.6964191,10.32214861,0.154339289,0,0,0
100,100,0,5.8,0,599.5,90.45,300,0,0,2183.6,0,17.24137931,7814.56,2050.88,49.87435919,6.163726823,0.333333333,1.739467569,24.6964191,10.32214861,0.148118587,0,0,0
100,100,0,6.8,0,521.9,118.24,300,0,0,2500.9,0,14.70588235,7464.96,2350.08,48.74598002,7.148780606,0.333333333,1.389562347,25.51286347,10.29574825,0.145987921,0,0,0
100,100,0,6.8,0,521.9,101.38,300,0,0,2210.3,0,14.70588235,7464.96,2350.08,48.74598002,7.148780606,0.333333333,1.6206535,25.51286347,10.29574825,0.142399415,0,0,0
100,100,0,6.8,0,521.9,90.45,300,0,0,2401,0,14.70588235,7464.96,2350.08,48.74598002,7.148780606,0.333333333,1.816493663,25.51286347,10.29574825,0.140014536,0,0,0
100,100,0,6.8,0,521.9,79.53,300,0,0,2235,0,14.70588235,7464.96,2350.08,48.74598002,7.148780606,0.333333333,2.065910372,25.51286347,10.29574825,0.137585592,0,0,0
100,100,0,10,0,468.6,118.24,300,0,0,2443,0,10,6400,3200,45.13516668,10.14389723,0.333333333,1.981562923,35.10514891,10.18233765,0.135646421,0,0,0
100,100,0,10,0,468.6,101.38,300,0,0,2305.8,0,10,6400,3200,45.13516668,10.14389723,0.333333333,2.311106727,35.10514891,10.18233765,0.132824126,0,0,0
100,100,0,10,0,468.6,101.38,300,0,0,2544.5,0,10,6400,3200,45.13516668,10.14389723,0.333333333,2.311106727,35.10514891,10.18233765,0.132824126,0,0,0
100,100,0,10,0,468.6,79.53,300,0,0,2220.3,0,10,6400,3200,45.13516668,10.14389723,0.333333333,2.946058091,35.10514891,10.18233765,0.129073918,0,0,0
